No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
40,accident,3.2000,0.2000,0.2667,0.1000,0.5667,0.0667,5.2333,0.1333,5.2333,0.0667,4.1000,3.3000,2.4667,3.9667,4.5667
385,accordion,1.5862,0.0690,1.6207,0.0345,0.6552,1.3793,0.2414,3.0345,0.6897,2.2759,0.1724,0.1724,0.2069,0.1379,0.9655
114,activist,3.2000,5.9667,2.3333,1.1000,1.6667,4.4333,1.8000,1.9000,1.2667,1.7333,0.7333,1.6333,0.9333,1.0333,1.6000
115,actor,2.1034,5.7586,1.9655,0.8966,1.0000,2.5862,0.7931,3.7241,0.6552,3.3793,1.9655,1.1034,0.7241,1.3793,2.3793
454,advantage,2.6000,1.3600,0.3600,1.6800,2.3600,5.2000,1.4000,3.2400,0.5600,3.4400,0.4800,1.0400,0.5600,0.5600,2.1200
494,advice,5.4000,2.0667,4.8000,1.9000,3.8000,5.0333,1.7333,3.0667,1.4000,2.6000,1.2667,1.1333,0.5667,1.0333,1.6333
1,aggressive,4.7333,3.0333,3.6000,0.8333,3.6333,0.3667,4.3333,0.4000,3.9667,0.1333,0.8667,5.3667,1.7333,2.2667,1.4333
77,agreement,5.4286,2.1071,3.9643,0.9643,3.6429,4.7143,1.3214,3.1786,0.3929,3.1786,0.4286,0.5357,0.2857,0.3214,0.8214
154,airport,2.8276,0.6897,1.3793,0.4138,0.2759,3.0690,1.3448,1.3448,1.6897,1.3448,0.7931,0.9655,0.3448,1.3448,0.6207
272,alligator,0.1000,1.2333,0.0667,0.0667,0.1333,0.3333,5.6667,0.4000,3.3000,0.0667,0.7000,0.6000,1.3000,4.8667,3.2667
438,ambulance,2.2903,0.4194,0.7097,0.0323,0.1613,5.0000,0.7742,0.6452,2.3871,0.4194,2.8387,0.4194,0.3226,2.3871,2.6129
455,analogy,2.7308,0.3077,4.8462,1.1154,5.2308,3.3846,0.5385,1.8462,0.7308,1.3462,0.6154,0.8462,0.5769,0.4231,1.8846
36,angry,4.9286,3.2143,4.0000,1.2857,4.8929,0.7857,4.3929,0.1429,5.4286,0.0357,2.5000,6.0000,2.9643,2.7857,1.5357
349,animosity,4.7407,1.2222,3.3333,0.7407,4.4815,0.5556,3.8148,0.3704,5.2593,0.1481,3.0370,4.5926,2.7407,2.8148,2.2963
273,ant,0.2258,1.5806,0.0000,0.0645,0.2581,0.6452,1.8710,0.3548,2.9355,0.2903,0.2258,1.1290,1.8387,1.1935,0.9677
405,apartment,0.9286,0.0000,0.2500,0.8571,0.1071,3.7857,0.4643,2.1786,0.3929,1.9286,0.1429,0.3214,0.1429,0.1071,0.1071
495,apology,5.6552,1.9310,5.3793,1.7931,3.6897,4.6552,0.7931,3.1379,1.3793,3.5862,1.8276,1.1034,0.5862,0.9655,2.4138
521,applause,3.6897,0.5862,3.9655,0.4828,1.0000,2.6552,0.1034,4.5517,0.1034,4.3793,0.0345,0.0345,0.0345,0.0690,1.8276
181,approached,4.1481,3.8889,2.4815,2.9259,1.1111,1.7037,1.4815,1.7407,0.6296,1.3333,0.3333,0.9630,0.1111,1.4074,1.9630
311,apricot,0.1333,0.0333,0.0333,0.2000,0.0333,1.9333,0.1667,3.6333,0.2000,2.2333,0.1000,0.0667,0.1000,0.1333,0.3000
295,arm,0.7000,0.8000,2.9667,2.8667,0.2667,3.3000,2.6333,1.8000,0.1000,1.0000,0.0000,0.0333,0.1667,0.0333,0.2000
53,army,5.3214,5.2143,2.0357,0.6786,1.8571,4.1429,5.3571,1.4286,2.3929,1.2857,2.1429,1.8214,1.3571,3.5357,1.7857
182,arrested,5.5333,3.9333,2.2000,0.1000,1.6667,1.3333,3.5667,0.6333,5.3667,0.2333,3.9000,3.9333,2.9333,3.9000,3.3333
116,artist,1.5000,5.6071,1.7500,1.5357,2.6071,3.1786,0.8214,3.9286,0.3214,3.2143,0.9643,0.8571,0.4643,0.6071,1.6071
312,asparagus,0.3103,0.0345,0.0690,0.2759,0.1034,2.4138,0.1379,2.3793,0.8621,1.4138,0.0000,0.0345,0.5517,0.1034,0.2414
183,ate,2.0000,2.7931,0.6552,5.1034,1.0345,3.8966,0.5517,4.6207,0.2759,4.0690,0.4138,0.1379,0.4483,0.1034,0.2069
456,attribute,0.7500,0.3000,1.0000,3.7000,3.0500,3.6000,1.3500,2.4000,1.2500,2.3500,0.5500,0.9000,0.4500,0.5500,1.2000
309,audience,4.8000,3.1000,2.1333,0.7000,1.0667,2.1333,0.7000,2.5667,0.6000,2.4333,0.2000,0.4667,0.1667,0.9667,1.3333
117,author,1.6429,5.7143,2.6429,1.2857,2.6429,3.8929,1.0357,3.3571,0.3571,3.4643,1.7143,0.8571,0.5000,0.8571,2.1786
265,avalanche,0.2581,0.0968,0.0000,0.0645,0.0323,0.2258,5.8710,0.0645,4.7097,0.0645,2.5161,1.3871,0.6129,4.7097,4.1290
350,awe,2.9286,0.3571,1.6429,0.9286,4.7857,2.4643,0.2143,4.1071,0.1429,4.5357,0.2857,0.2857,0.0714,0.8571,3.9643
420,axe,0.5667,0.1667,0.1667,0.1333,0.3000,2.9000,5.1000,0.6333,0.9667,0.4333,0.2333,0.5667,0.3667,2.1667,0.6000
386,bagpipe,1.3571,0.0000,1.6786,0.2143,1.3571,1.2857,0.3929,2.4643,1.7857,2.0357,1.1429,0.6429,0.4643,0.3571,1.1071
78,ball,2.8519,0.0741,0.3704,0.6667,0.7407,1.1481,2.0370,2.7037,0.1852,2.5926,0.2222,0.0741,0.2963,0.1481,0.3704
313,banana,0.1724,0.0000,0.0345,0.2069,0.1034,2.7586,0.3103,3.2069,0.3793,1.7241,0.0345,0.0000,0.1724,0.0000,0.0000
387,banjo,1.6667,0.0333,1.7333,0.2333,1.1667,1.6000,0.2333,3.5667,0.5000,2.8667,0.3667,0.3333,0.2000,0.0333,0.6000
118,banker,2.5556,5.2963,1.2963,0.8148,1.4444,3.6667,1.9259,1.4444,1.7037,1.1111,1.2593,1.4444,0.8519,0.7037,0.7407
406,bar,4.3571,0.1429,1.7857,0.8929,0.1786,1.7143,1.9286,3.0357,1.2857,2.7500,0.8214,0.5000,0.8214,0.3929,0.4643
243,barbecue,4.8966,0.3793,1.4138,0.6207,0.5517,2.4828,0.6207,4.9655,0.0345,4.5172,0.0345,0.0345,0.1034,0.0345,0.2414
79,baseball,3.7143,0.1786,0.7143,0.6429,1.0357,1.1071,2.5000,2.1071,0.5000,1.6071,0.0714,0.0357,0.0357,0.2500,0.3214
522,battle,5.3571,1.7143,1.2500,0.1786,1.2857,1.0357,5.6786,0.1429,4.6786,0.0714,3.7500,3.9286,3.0000,4.5000,2.1071
407,bay,0.6552,0.1724,0.0690,0.0690,0.1379,2.0000,1.3448,3.4828,0.0690,2.1379,0.1724,0.0345,0.1724,0.5517,0.5172
155,beach,2.0000,0.1379,0.3448,0.7241,0.1724,2.2069,1.3103,5.4483,0.0345,4.6897,0.0345,0.0000,0.1034,0.3793,0.3448
80,bed,1.4667,0.0667,0.2333,0.4667,0.3333,3.1667,0.3000,4.6333,0.2000,3.2667,0.0667,0.0333,0.0667,0.0667,0.0333
274,bee,0.4194,0.6774,0.0645,0.0968,0.0323,2.6129,3.9355,0.8387,3.1290,0.3226,0.4516,0.9032,0.7742,3.0645,2.5806
368,beer,2.4000,0.0000,0.7333,1.0333,0.3667,2.1000,3.1000,3.6333,1.5333,3.6000,0.9667,0.8333,1.4333,0.5000,0.6333
255,belch,0.6667,0.3667,1.1000,0.3667,0.5000,0.7667,0.6333,0.2333,4.1000,0.5333,0.3333,1.3000,4.4000,0.3333,2.9000
338,belief,2.0000,1.6207,2.1034,4.8276,5.6552,3.5517,2.4828,2.2759,1.2759,3.4138,1.7586,1.8621,1.5517,1.6897,1.5862
388,bell,0.8667,0.0333,2.9667,0.0333,0.1667,1.8000,0.1667,2.9333,0.7000,2.2333,0.4333,0.1333,0.0333,0.4333,2.5667
81,bicycle,1.1667,0.2000,0.4667,1.0667,0.5333,3.2333,1.4667,3.2000,0.2000,2.7667,0.0333,0.0333,0.0000,0.0667,0.1333
2,big,0.5667,0.7000,0.5667,0.9667,0.2333,0.8000,1.7333,0.7667,1.1000,0.6333,0.1667,0.6333,0.5667,1.0667,0.8000
54,bird,0.0000,0.7586,0.8966,0.3793,0.0000,1.0000,0.9310,2.9655,0.2069,2.3793,0.0345,0.0345,0.2414,0.3448,0.6207
30,black,0.5000,0.1333,0.1667,0.3000,0.4667,0.2000,0.4000,1.1667,1.1333,0.3000,2.2333,1.7000,0.6000,1.5667,0.1333
184,blocked,1.8889,2.2593,0.7778,0.7407,1.2963,1.8519,2.5926,0.5185,2.7778,0.1111,1.2963,2.0370,0.7037,1.3333,1.7037
31,blue,0.2258,0.0323,0.3226,0.1613,0.3548,0.1935,0.0000,1.7742,0.6129,0.3548,3.7742,0.0645,0.0323,0.1613,0.0000
314,blueberry,0.5862,0.0345,0.0690,0.2414,0.1034,2.5517,0.2759,4.2069,0.4483,2.2759,0.0345,0.0345,0.0690,0.0000,0.2069
82,boat,1.3214,0.0357,0.2143,0.1071,0.1786,2.8214,1.5000,2.9286,0.2857,2.4286,0.0357,0.0714,0.1071,0.4286,0.1786
523,bonfire,3.1034,0.2069,0.9310,0.2414,0.0345,1.5517,3.9655,4.0690,0.1724,3.3793,0.1034,0.1724,0.1034,0.8966,0.6552
83,book,0.8333,0.0667,3.9000,2.2333,3.4667,4.5667,0.6333,4.0333,0.6000,3.2000,1.2000,0.6000,0.5333,0.8333,1.2667
185,bought,4.5517,4.4828,3.2759,4.1034,2.6552,3.5517,0.5172,3.6897,0.6207,3.7586,0.2414,0.2759,0.2069,0.2414,0.4828
55,boy,1.1000,5.7667,0.5000,1.7000,0.7333,2.6333,1.2667,2.8333,0.4667,2.9000,0.6000,0.7000,0.4000,0.4667,1.7667
84,bread,0.4194,0.0000,0.0968,0.3548,0.0645,2.8387,0.0645,3.8710,0.0968,2.5806,0.0000,0.0000,0.1613,0.0000,0.1613
244,bribe,5.4286,1.5357,2.8214,0.8214,2.8214,2.2857,3.9643,0.4286,3.8214,0.5357,1.8929,3.2857,3.4286,1.8571,2.2857
151,bridge,1.1034,0.0345,0.2759,0.1034,0.2759,4.3793,1.0000,1.4483,0.5862,0.6897,0.1379,0.1724,0.0690,0.9310,0.1034
315,broccoli,0.2333,0.0333,0.0333,0.5333,0.0667,2.9000,0.2000,2.8333,1.0667,1.8000,0.1000,0.0333,0.8667,0.1000,0.0667
186,broke,0.5926,1.8519,0.2963,1.0741,0.3704,0.5556,3.3704,0.1481,4.0741,0.2222,2.6667,3.0741,1.6667,1.7778,3.5185
389,bugle,1.7500,0.1071,3.1786,0.1071,1.1071,1.7500,0.2143,2.7500,0.7857,2.0357,0.6786,0.2857,0.0357,0.1786,1.7143
187,built,2.8387,4.8710,0.7742,1.3226,2.9355,4.1290,0.7419,1.8710,0.3548,1.0968,0.0323,0.1290,0.0645,0.1935,0.2258
439,bus,1.9286,0.1071,0.3929,0.1071,0.1071,3.8929,2.0714,0.8929,1.0000,0.6429,0.0714,0.2143,0.2500,0.1786,0.2500
496,business,5.4483,2.3103,2.4828,1.8966,1.9655,4.6552,2.0345,2.2069,1.4483,2.1379,0.6897,1.2414,1.0000,0.8621,0.9655
119,businessman,2.7333,5.8667,2.1667,1.1333,1.6333,3.3667,2.1000,1.8667,1.9333,1.4667,1.2333,1.8000,1.3000,1.0333,1.2333
275,butterfly,0.0667,0.7667,0.0667,0.1667,0.0667,1.0000,0.0333,5.0667,0.1000,4.3667,0.1667,0.0333,0.0333,0.1333,1.3333
440,cab,3.1333,0.5000,0.3667,0.1333,0.2000,3.7667,1.6000,1.3333,0.7000,0.8667,0.0667,0.6000,0.2333,0.4333,0.2667
316,cabbage,0.0667,0.0333,0.0000,0.1000,0.0667,2.3000,0.0667,2.1667,1.1667,0.8000,0.0000,0.0000,0.4333,0.0000,0.0000
85,cabinet,0.2813,0.0938,0.2813,0.3750,0.0938,2.4063,0.5000,1.1875,0.0625,0.7188,0.0313,0.0313,0.1875,0.0938,0.1563
408,cafeteria,4.0333,0.1000,0.6333,0.0333,0.1333,2.8000,0.2333,2.4667,0.8000,1.8667,0.1333,0.0667,0.7333,0.1000,0.0333
276,camel,0.8667,0.4667,0.5000,0.1333,0.5667,2.9333,1.7333,1.7000,0.9000,1.3000,0.3000,0.2333,0.4000,0.7000,0.9000
86,camera,2.3214,0.1429,2.5357,1.0357,1.0357,2.9643,0.6071,3.0357,0.3214,2.3214,0.1071,0.2500,0.0357,0.1786,1.1786
87,car,1.6552,0.0345,0.6552,2.2414,1.0000,4.2069,3.1379,3.0690,0.1724,3.2759,0.1034,0.1724,0.0690,0.6207,0.5517
245,carnival,4.8571,1.0000,0.9286,0.3214,0.5714,1.8929,0.8929,4.6786,0.4286,4.9286,0.2143,0.3214,0.2857,1.1071,2.7500
441,carriage,2.0000,0.1379,0.5172,0.1034,0.0345,2.7586,1.1724,2.6897,0.2414,2.3793,0.0345,0.0690,0.1034,0.3103,0.8966
188,carried,1.8667,3.5000,1.7000,3.9667,0.5667,3.2667,1.2000,1.0667,1.5667,0.6333,0.1333,0.2000,0.1667,0.1000,0.2333
317,carrot,0.0000,0.0000,0.0000,0.2414,0.0345,2.7931,0.1724,2.0690,0.2414,1.0690,0.0000,0.0000,0.0345,0.0000,0.0690
88,cash,2.0000,0.2857,1.6429,1.7857,0.1786,5.0000,1.7500,4.1786,0.3929,4.2500,1.0357,0.9643,0.6429,0.5714,1.2143
409,cathedral,2.8000,0.5667,1.8667,0.6333,0.8667,3.3000,0.4333,2.3667,0.4000,2.1000,0.6667,0.2000,0.3000,0.3000,0.4000
189,celebrated,4.8667,4.1000,2.9667,2.5333,1.9000,2.9000,0.2333,5.4667,0.2333,5.7333,0.1000,0.1333,0.1333,0.1333,2.9000
89,cellphone,3.6774,0.3226,5.8387,1.9355,1.5484,4.4194,0.6452,3.3548,0.2258,3.0323,0.2258,0.4839,0.1613,0.1613,1.3548
90,chair,0.2308,0.0000,0.5385,0.2308,0.0385,2.5000,0.5385,2.4231,0.1154,1.0769,0.0000,0.0385,0.0385,0.0000,0.0000
369,cheese,0.5000,0.0333,0.0000,0.3000,0.1333,1.9667,0.4000,4.2000,0.4333,2.7667,0.0333,0.0333,0.2000,0.0000,0.0667
277,cheetah,0.0345,1.0345,0.0345,0.1034,0.5517,0.5517,4.2414,1.5517,0.8966,1.1379,0.5172,0.3793,0.4138,3.4483,2.0000
318,cherry,0.6000,0.1333,0.1000,0.4000,0.2667,2.1000,0.0667,4.3000,0.3000,3.0667,0.0667,0.0667,0.1667,0.1333,0.4333
319,chestnut,0.2143,0.0000,0.0357,0.0000,0.1429,1.0714,0.3571,2.3214,0.0714,1.2500,0.1071,0.0357,0.0357,0.0000,0.3214
56,chicken,0.4000,0.4667,0.3333,0.4333,0.3000,2.9000,0.6333,3.5667,0.2333,2.6333,0.1667,0.0667,0.2333,0.2000,0.8667
57,child,1.0370,5.1852,0.2593,1.2593,0.9630,2.2222,1.2593,2.9630,1.0741,3.3333,0.3333,0.8519,0.2963,0.3333,1.8519
390,chime,0.7000,0.0333,1.7667,0.0667,0.1333,1.1333,0.2667,3.0000,0.6333,2.4000,0.2333,0.1667,0.1000,0.2667,2.6000
278,chipmunk,0.1333,1.3333,0.0000,0.0667,0.0333,0.4667,1.3000,2.8667,0.4667,2.7333,0.0667,0.2000,0.0667,0.4000,1.6333
370,chocolate,0.5172,0.0000,0.1379,0.5172,0.0690,1.7241,0.5862,5.1379,0.0690,4.3103,0.0690,0.0000,0.0345,0.0000,0.7241
310,choir,4.4839,3.9355,2.4516,0.6129,1.1613,2.6129,0.1935,4.5806,0.2258,3.9032,0.7419,0.0968,0.0968,0.1935,0.8710
180,church,4.5769,1.2692,2.6538,0.4231,1.2692,3.0385,1.1538,1.7308,1.5000,1.8077,1.1154,0.8846,0.8846,1.2308,0.5000
246,circus,4.7500,0.4643,0.7143,0.0714,0.6071,2.3214,0.7500,5.0357,0.4286,5.0000,0.2500,0.2857,0.1429,0.5714,3.2500
256,clang,0.4333,0.0000,1.5667,0.0333,0.0667,0.4667,1.1000,0.5667,3.0667,0.3000,0.1667,0.9667,0.2333,1.2667,4.2333
391,clarinet,1.7419,0.0323,1.8387,0.2258,1.9355,1.5806,0.3226,4.0968,0.3871,2.6452,0.4516,0.2903,0.1935,0.0645,0.7097
3,clever,3.5185,3.4815,3.9259,4.0370,5.7407,3.5556,1.3333,3.4444,0.4815,2.1481,0.2593,0.4074,0.0741,0.1481,1.4815
91,cloud,0.0667,0.0333,0.1000,0.1333,0.1000,1.6000,0.6000,3.1000,0.6333,2.1000,0.6333,0.0667,0.0667,0.6000,0.3333
457,clue,1.9259,0.3333,1.8148,0.1111,2.4444,4.6296,1.1481,1.4074,0.7407,1.7037,0.5556,0.5556,0.2222,0.7778,3.1481
92,coffee,1.7500,0.0000,0.5000,1.4375,0.1875,2.9063,0.8125,4.5625,0.3125,3.1563,0.0000,0.0938,0.1563,0.0313,0.3125
4,cold,1.0345,0.0345,0.5172,0.1034,0.1034,0.3793,1.8621,0.5862,2.4138,0.1034,1.2759,0.3103,0.2414,0.7931,0.3793
410,college,4.7931,0.7241,1.9655,2.5172,2.8966,5.6552,0.3103,3.0345,1.0690,2.5862,0.6207,0.6897,0.0690,1.1379,0.7931
421,comb,0.4194,0.2258,0.1290,1.2258,0.0000,2.7097,0.5806,1.6452,0.3548,1.1290,0.0000,0.1613,0.0968,0.0000,0.1290
120,commander,2.3214,5.8929,1.2500,0.4286,1.0357,3.5357,2.8214,1.1429,1.6429,0.7143,1.0000,1.1071,0.2143,1.8214,1.3571
58,company,3.8214,3.5000,1.5357,0.8571,1.2500,3.2500,1.5714,1.2143,0.9643,1.0714,0.6071,0.9643,0.6429,0.6429,0.6429
93,computer,2.2759,1.0345,5.3793,2.1034,2.3793,4.4138,1.1379,4.1379,0.2414,3.1724,0.1034,0.2069,0.2414,0.2069,0.6207
422,corkscrew,1.1333,0.0000,0.1667,0.1667,0.2333,1.7333,2.0333,1.7333,0.2667,1.6333,0.1333,0.1333,0.1667,0.3000,0.2667
59,corn,0.5000,0.1667,0.1667,0.3667,0.1333,2.8667,0.4000,3.7333,0.3333,2.2333,0.1000,0.1000,0.1000,0.1000,0.3333
257,cough,0.3333,0.2667,1.3667,0.3667,0.6000,0.4667,3.3000,0.7333,4.6000,0.3000,1.5667,1.5667,2.5333,1.2000,1.9000
60,council,5.2143,5.1786,3.6429,0.3214,2.0000,3.4643,1.5714,1.3214,1.1429,1.1786,0.2857,1.1429,0.3571,0.6429,0.5357
61,couple,5.4444,5.1481,0.7037,2.8519,1.1481,2.5556,1.0370,4.2222,0.2963,4.2593,0.6296,0.6296,0.5185,0.3333,1.0000
156,court,4.6429,1.4643,1.8571,0.1786,1.3571,3.3214,2.0000,0.3929,3.1786,0.7143,1.7857,1.5714,0.9286,2.3214,1.5357
320,cranberry,0.1724,0.0345,0.0000,0.0690,0.0000,2.7241,0.1034,3.0345,0.4483,1.7586,0.0000,0.0000,0.4828,0.0000,0.1379
383,crib,1.2857,0.1071,0.1786,0.3929,0.2143,2.7857,0.3571,2.1786,0.1786,2.1786,0.1786,0.0714,0.1071,0.0714,0.2500
121,criminal,2.0000,5.5000,0.0357,0.1429,1.5000,0.2143,5.6071,0.0357,4.9643,0.0357,3.2500,4.4643,3.9643,4.7857,2.5714
190,crossed,1.5833,4.0000,1.3333,2.3333,1.1667,1.7500,1.2500,1.1667,0.5833,0.5833,0.2500,0.6250,0.2083,0.5000,0.2500
279,crow,0.1034,1.1379,0.0345,0.0690,0.7586,0.3103,1.4828,1.0690,1.8621,0.6207,0.4483,0.4483,0.7586,1.8276,1.2069
321,cucumber,0.1613,0.0000,0.0645,0.0645,0.0323,1.9677,0.1613,2.1935,0.2258,1.0968,0.0000,0.0000,0.2581,0.0000,0.0000
458,curse,3.3793,1.3448,1.0000,0.2759,3.2759,0.2414,4.9310,0.0000,5.0000,0.0000,3.2759,3.2069,2.6207,4.3793,2.4828
266,cyclone,0.6786,0.2143,0.0000,0.0357,0.0000,0.0357,5.6429,0.2143,5.1429,0.0714,3.2143,1.9286,1.3214,5.1786,3.0000
191,damaged,1.0000,1.7931,0.4138,0.5517,0.4483,0.1034,4.2414,0.0000,4.5862,0.0345,2.7241,3.8966,2.6552,2.4483,2.7931
322,dandelion,0.2414,0.0345,0.1379,0.2414,0.1379,1.4483,0.1724,3.9310,0.4138,2.9655,0.0345,0.1034,0.0345,0.0690,0.2759
5,dangerous,3.3000,1.7667,0.8000,0.5667,1.8000,0.2000,5.4333,0.1333,5.2333,0.1667,2.1333,2.7667,1.7000,5.4333,3.0000
6,dark,1.2143,0.3929,0.2143,0.5714,0.9643,0.3929,1.6429,0.7143,2.6786,0.2143,3.3929,1.6429,0.6071,3.0357,0.4286
513,day,1.9286,0.5714,0.6429,0.8929,0.4643,2.1786,0.5357,3.5357,0.5714,3.1786,0.5000,0.4286,0.1071,0.3571,0.6071
7,dead,1.2963,0.8519,0.3333,0.1852,1.3333,0.2963,3.1481,0.2222,5.0741,0.0000,4.3333,1.7037,3.4444,3.3704,0.7778
