Word,Mean,SD,Conc.M,V.Mean.Sum,Social
accomplishment,4.638888889,1.60628725,2.5,8.05,3.97
annoy,4.916666667,1.74642492,1.93,2.49,NA
betray,5.771428571,1.436616005,2.17,2.52,NA
blueberry,1.428571429,1.289909123,4.96,7.11,NA
disloyal,5.861111111,1.457057265,1.64,2.27,NA
equality,5.972222222,1.206792943,1.41,6.75,5.85
exception,2.514285714,1.502379066,1.85,5.25,2.97
family,6.527777778,0.877858144,4.23,7.25,NA
fate,3.277777778,1.578627091,1.53,5.38,3.15
friendly,6.583333333,0.76997217,2.32,7.84,NA
frostbite,2,1.255291829,4.33,2.1,NA
garbage,2.555555556,1.575607718,4.69,2.88,NA
government,5.777777778,1.354592424,2.88,3.78,NA
gunshot,3.138888889,1.807172658,4.93,2.79,NA
honey,2.666666667,1.567527626,4.88,7.27,NA
limitless,2.527777778,1.253249744,1.71,7.11,NA
meaningless,2.888888889,1.769225461,1.86,2.95,NA
new,2.166666667,1.61245155,2.81,7.68,NA
nightclub,6,1.473576795,4.96,5.32,NA
orphanage,5.428571429,1.539398551,4.65,2.95,NA
parasite,2.694444444,1.737312283,4.34,1.9,NA
power,4.583333333,1.441725157,2.04,5.97,NA
put,2.257142857,1.686326623,2.5,5.09,NA
regret,3.805555556,1.769898212,1.8,3.41,4.23
resort,4.2,1.875539138,4.3,7.76,2.38
sick,3.583333333,1.903005142,2.97,2.29,NA
station,4.083333333,1.917960226,4.32,5.5,2.31
television,4.5,1.812653934,4.83,7.18,3.27
umbrella,2.111111111,1.736626908,5,5.84,NA
witness,4.944444444,1.911535575,4.07,5.61,4.31