Word,Mean,SD
luck,2.833333333,1.732050808
limitless,2.527777778,1.253249744
paradox,2.303030303,1.86220381
grim,3.333333333,1.779513042
meaningless,2.888888889,1.769225461
new,2.166666667,1.61245155
safety,4.138888889,1.884565547
put,2.257142857,1.686326623
sick,3.583333333,1.903005142
pollute,4,1.940285
honey,2.666666667,1.567527626
blueberry,1.428571429,1.289909123
umbrella,2.111111111,1.736626908
frostbite,2,1.255291829
garbage,2.555555556,1.575607718
wish,3.416666667,1.962141687
adventurous,4.638888889,1.958903159
exception,2.514285714,1.502379066
fate,3.277777778,1.578627091
sadness,4.314285714,2.246191922
worthless,3.916666667,1.794833856
genuine,4.861111111,1.675926657
accomplishment,4.638888889,1.60628725
power,4.583333333,1.441725157
majority,4.611111111,1.901544902
grief,5.085714286,1.669297643
poverty,5.194444444,1.954035304
resort,4.2,1.875539138
television,4.5,1.812653934
station,4.083333333,1.917960226
baseball,4.694444444,2.039880171
gunshot,3.138888889,1.807172658
parasite,2.694444444,1.737312283
equality,5.972222222,1.206792943
justice,5.444444444,1.5202339
fairness,5.485714286,1.482673035
intention,3.666666667,1.690308509
regret,3.805555556,1.769898212
democracy,6.257142857,1.244821205
betray,5.771428571,1.436616005
disloyal,5.861111111,1.457057265
annoy,4.916666667,1.74642492
friendly,6.583333333,0.76997217
joke,5.944444444,1.472499225
marriage,6.222222222,1.267418323
government,5.777777778,1.354592424
rumor,5.861111111,1.6414763
excuse,4.611111111,1.82487225
enemy,5.527777778,1.594384989
racism,6.142857143,1.665265517
vengeful,5.545454545,1.438117456
family,6.527777778,0.877858144
applause,5.971428571,1.543215022
nightclub,6,1.473576795
cafeteria,5.277777778,1.86104596
witness,4.944444444,1.911535575
policeman,5.416666667,1.662614121
courtroom,5.444444444,1.629100443
kidnapper,5.333333333,2.042407543
orphanage,5.428571429,1.539398551