Word,Mean,Std.Dev,Min,Median,Max,N.Valid,Pct.Valid
luck,2.833333333,1.732050808,1,2,7,36,100
limitless,2.527777778,1.253249744,1,2,6,36,100
paradox,2.303030303,1.86220381,1,1,7,33,91.66666667
grim,3.333333333,1.779513042,1,3,7,33,91.66666667
meaningless,2.888888889,1.769225461,1,3,7,36,100
new,2.166666667,1.61245155,1,1,6,36,100
safety,4.138888889,1.884565547,1,4,7,36,100
put,2.257142857,1.686326623,1,1,7,35,97.22222222
sick,3.583333333,1.903005142,1,3.5,7,36,100
pollute,4,1.940285,1,4,7,35,97.22222222
honey,2.666666667,1.567527626,1,2.5,7,36,100
blueberry,1.428571429,1.289909123,1,1,7,35,97.22222222
umbrella,2.111111111,1.736626908,1,1,7,36,100
frostbite,2,1.255291829,1,1,6,34,94.44444444
garbage,2.555555556,1.575607718,1,2,6,36,100
wish,3.416666667,1.962141687,1,3,7,36,100
adventurous,4.638888889,1.958903159,1,5,7,36,100
exception,2.514285714,1.502379066,1,2,5,35,97.22222222
fate,3.277777778,1.578627091,1,3,7,36,100
sadness,4.314285714,2.246191922,1,4,7,35,97.22222222
worthless,3.916666667,1.794833856,1,4,7,36,100
genuine,4.861111111,1.675926657,1,5,7,36,100
accomplishment,4.638888889,1.60628725,1,5,7,36,100
power,4.583333333,1.441725157,1,4.5,7,36,100
majority,4.611111111,1.901544902,1,5,7,36,100
grief,5.085714286,1.669297643,1,5,7,35,97.22222222
poverty,5.194444444,1.954035304,1,6,7,36,100
resort,4.2,1.875539138,1,5,7,35,97.22222222
television,4.5,1.812653934,1,4,7,36,100
station,4.083333333,1.917960226,1,4,7,36,100
baseball,4.694444444,2.039880171,1,6,7,36,100
gunshot,3.138888889,1.807172658,1,3,7,36,100
parasite,2.694444444,1.737312283,1,2,7,36,100
equality,5.972222222,1.206792943,2,6,7,36,100
justice,5.444444444,1.5202339,1,6,7,36,100
fairness,5.485714286,1.482673035,1,6,7,35,97.22222222
intention,3.666666667,1.690308509,1,4,6,36,100
regret,3.805555556,1.769898212,1,4,7,36,100
democracy,6.257142857,1.244821205,2,7,7,35,97.22222222
betray,5.771428571,1.436616005,3,6,7,35,97.22222222
disloyal,5.861111111,1.457057265,2,6,7,36,100
annoy,4.916666667,1.74642492,1,5,7,36,100
friendly,6.583333333,0.76997217,4,7,7,36,100
joke,5.944444444,1.472499225,1,6,7,36,100
marriage,6.222222222,1.267418323,1,7,7,36,100
government,5.777777778,1.354592424,1,6,7,36,100
rumor,5.861111111,1.6414763,1,6.5,7,36,100
excuse,4.611111111,1.82487225,1,5,7,36,100
enemy,5.527777778,1.594384989,1,6,7,36,100
racism,6.142857143,1.665265517,1,7,7,35,97.22222222
vengeful,5.545454545,1.438117456,2,6,7,33,91.66666667
family,6.527777778,0.877858144,3,7,7,36,100
applause,5.971428571,1.543215022,1,7,7,35,97.22222222
nightclub,6,1.473576795,1,7,7,36,100
cafeteria,5.277777778,1.86104596,1,5.5,7,36,100
witness,4.944444444,1.911535575,1,5,7,36,100
policeman,5.416666667,1.662614121,1,5.5,7,36,100
courtroom,5.444444444,1.629100443,1,6,7,36,100
kidnapper,5.333333333,2.042407543,1,6,7,36,100
orphanage,5.428571429,1.539398551,2,5,7,35,97.22222222