Word_ID_rating,Word_ID_rationale,Word
1_R_Q1,1_R_Q2,luck  
2_R_Q1,2_R_Q2,limitless  
3_R_Q1,3_R_Q2,paradox  
4_R_Q1,4_R_Q2,grim  
5_R_Q1,5_R_Q2,meaningless  
6_R_Q1,6_R_Q2,new  
7_R_Q1,7_R_Q2,safety  
8_R_Q1,8_R_Q2,put  
9_R_Q1,9_R_Q2,sick  
10_R_Q1,10_R_Q2,pollute  
11_R_Q1,11_R_Q2,honey  
12_R_Q1,12_R_Q2,blueberry  
13_R_Q1,13_R_Q2,umbrella  
14_R_Q1,14_R_Q2,frostbite  
15_R_Q1,15_R_Q2,garbage  
16_R_Q1,16_R_Q2,wish  
17_R_Q1,17_R_Q2,adventurous  
18_R_Q1,18_R_Q2,exception  
19_R_Q1,19_R_Q2,fate  
20_R_Q1,20_R_Q2,sadness  
21_R_Q1,21_R_Q2,worthless  
22_R_Q1,22_R_Q2,genuine  
23_R_Q1,23_R_Q2,accomplishment  
24_R_Q1,24_R_Q2,power  
25_R_Q1,25_R_Q2,majority  
26_R_Q1,26_R_Q2,grief  
27_R_Q1,27_R_Q2,poverty  
28_R_Q1,28_R_Q2,resort  
29_R_Q1,29_R_Q2,television  
30_R_Q1,30_R_Q2,station  
31_R_Q1,31_R_Q2,baseball  
32_R_Q1,32_R_Q2,gunshot  
33_R_Q1,33_R_Q2,parasite  
34_R_Q1,34_R_Q2,equality  
35_R_Q1,35_R_Q2,justice  
36_R_Q1,36_R_Q2,fairness  
37_R_Q1,37_R_Q2,intention  
38_R_Q1,38_R_Q2,regret  
39_R_Q1,39_R_Q2,democracy  
40_R_Q1,40_R_Q2,betray  
41_R_Q1,41_R_Q2,disloyal  
42_R_Q1,42_R_Q2,annoy  
43_R_Q1,43_R_Q2,friendly  
44_R_Q1,44_R_Q2,joke  
45_R_Q1,45_R_Q2,marriage  
46_R_Q1,46_R_Q2,government  
47_R_Q1,47_R_Q2,rumor  
48_R_Q1,48_R_Q2,excuse  
49_R_Q1,49_R_Q2,enemy  
50_R_Q1,50_R_Q2,racism  
51_R_Q1,51_R_Q2,vengeful  
52_R_Q1,52_R_Q2,family  
53_R_Q1,53_R_Q2,applause  
54_R_Q1,54_R_Q2,nightclub  
55_R_Q1,55_R_Q2,cafeteria  
56_R_Q1,56_R_Q2,witness  
57_R_Q1,57_R_Q2,policeman  
58_R_Q1,58_R_Q2,courtroom  
59_R_Q1,59_R_Q2,kidnapper  
60_R_Q1,60_R_Q2,orphanage  